id,x,y
A_473388,-16.137966627781484,-7.175620270801884
A_34408,-16.09404978147801,-7.2798526883266526
A_473389,-17.104045165298686,-7.563458711645607
A_35813,-16.012684656633894,-7.0554802001158965
A_438924,-16.1342970760235,-7.029508976496083
A_38456,-16.67626328514765,-7.433362908104549
A_473393,-16.105695428362772,-7.264032864251148
A_40212,-16.1219058832373,-7.114628090336452
A_473392,-16.138690835500793,-7.025637226887313
A_44844,-15.920059022462704,-7.096956684485013
A_44850,-16.033017109560305,-7.267701224407171
A_47021,-15.944821232364236,-7.210265620381168
A_473391,-16.045897384700346,-7.213337675307844
A_68108,-17.14651154425514,-7.643638183440718
A_51687,-16.21897768483735,-7.269162382926184
A_383059,-16.402145346540465,-7.725487946002092
A_469146,-16.114551090184815,-7.071941964996495
A_473390,-16.20196976214853,-7.160713977222726
A_55267,-16.016549125379605,-7.333190840373154
A_56426,-16.24245085096939,-7.093071418848707
A_473394,-16.04594993173956,-7.2798320415121385
A_61919,-16.029540731500692,-7.234747142869503
A_62457,-16.02737513474453,-7.1967063135386855
A_64622,-16.058013573209937,-7.278117976136178
A_4857,-16.185225173633032,-7.083996210152639
A_113194,-16.956751684948905,-7.93370226659675
A_65829,-16.173224194716028,-7.633228633716366
A_31355,-16.914224833595167,-7.353665838460934
A_98424,-16.83611283131743,-7.706601712884725
A_421056,-16.911496721958347,-7.559071818854786
A_115851,-17.059736328483623,-7.658118051857224
A_33693,-16.955072641860998,-7.334007083317725
A_33700,-17.95830562261151,-8.107992645000206
A_67001,-16.939310155294816,-7.869769638936337
A_421209,-16.74882297900571,-7.562466203916725
A_473403,-17.076241473161055,-7.179010880727806
A_425205,-17.02523517400345,-7.5601920281581165
A_473401,-16.759126408527838,-7.375935063650576
A_473404,-16.68903787095777,-7.631376820904985
A_115752,-17.003002777599573,-7.392974793497935
A_473400,-16.738986155701912,-7.403894062703441
A_40068,-16.82301432346878,-7.1926127361950805
A_410255,-16.839740891654962,-7.509340390548881
A_67516,-17.013412371224437,-7.542461200879744
A_473397,-16.885451293162447,-7.294286179147493
A_37023,-17.02226016516554,-7.155160786728388
A_395615,-16.78394306878213,-7.3621512881636635
A_473399,-16.743093820956847,-7.310968387474439
A_115126,-17.11197987203978,-7.430245181387112
A_98418,-16.966965319040717,-7.517228962934585
A_114343,-17.223295088735888,-7.582781707960788
A_43283,-17.018847779737158,-7.16218486040793
A_440619,-17.058003045744844,-7.583528210626268
A_46844,-16.94891168931143,-7.469123279380733
A_48159,-16.977915148192633,-7.540668864325897
A_423855,-16.86390973094942,-7.235412754457712
A_48915,-16.770952925742975,-7.37427731725069
A_98425,-16.629934618858385,-7.533304201590032
A_473398,-16.710479252040532,-7.419495267256377
A_115559,-16.61252984062305,-7.461146849665967
A_51161,-17.549477043848555,-8.33738553397506
A_51486,-16.727540957438908,-7.327747792965414
A_98382,-17.089300986356378,-7.655924235899172
A_415908,-16.6634529197806,-7.427558582404029
A_438934,-16.743566978565166,-7.386702803312198
A_473402,-16.737041777088415,-7.280277562366681
A_473406,-16.834883853987296,-7.4031689402296985
A_56972,-16.862531719638522,-7.223772582813865
A_58170,-17.153603173173074,-7.7899288027514695
A_438935,-16.897125707611185,-7.274460241980477
