id,x,y
A_473388,-1509.973115933497,-7741.533312131103
A_34408,-1647.051476133518,-7756.330654606728
A_473389,-2004.7520906858028,-6748.0736500046
A_35813,-1583.2226075844683,-7820.740357147097
A_438924,-1768.1133806578189,-7753.512924535488
A_38456,-1290.8943295620813,-7261.0810195700715
A_473393,-1769.6364427455744,-7701.025164722302
A_40212,-1666.0245499511918,-7785.964031399068
A_473392,-1632.5075129790098,-7803.472248518744
A_44844,-1699.699903600949,-7787.034520243667
A_44850,-1870.078026346017,-7761.687912957242
A_47021,-1602.168259217171,-7914.633812050715
A_473391,-1689.3813618819156,-7763.991218117164
A_68108,-1979.9243940700933,-6702.349206329738
A_51687,-1794.3685276113654,-7697.10238120913
A_383059,-1562.7741085900268,-7115.428445181287
A_469146,-1631.8658618532284,-7703.6613371828
A_473390,-1707.5075922714418,-7684.6757678054655
A_55267,-1719.8716161675334,-7776.335114147915
A_56426,-1801.2260997681744,-7657.595175437557
A_473394,-1764.939838362824,-7680.544584191798
A_61919,-1546.6194469616141,-7849.60911364463
A_62457,-1741.1862566548687,-7792.621730942608
A_64622,-1891.9618584620896,-7686.37962447076
A_4857,-1611.2190866837739,-7764.981524399368
A_113194,-1785.4436059558739,-7053.891692000772
A_65829,-1628.8130363674245,-7557.994274212734
A_31355,-741.6691983668417,-6857.5341520807115
A_98424,-866.5845163173708,-6745.5214134197295
A_421056,-757.4748801757944,-7062.614780562517
A_115851,-886.2519317635291,-6855.457413542946
A_33693,-1048.753028937264,-6902.578645819368
A_33700,-1793.817021526491,-5463.316298024677
A_67001,-1352.0906403190468,-6888.869921666874
A_421209,-633.2892534470926,-6508.934746675012
A_473403,-628.0745607171918,-6706.673977344334
A_425205,-603.9012695443886,-6593.976641080298
A_473401,-714.0753523899527,-6814.092422626246
A_473404,-1028.1832721103428,-7062.524541318006
A_115752,-735.3139823712997,-6906.182445744606
A_473400,-681.9105803229293,-6885.8493610162905
A_40068,-955.946854336337,-7038.165157796203
A_410255,-604.8897230949345,-7020.721053708648
A_67516,-962.17575914726,-6643.2483924916
A_473397,-903.887026890725,-7193.003003208625
A_37023,-887.6999490554463,-6868.086039805713
A_395615,-636.4969543318957,-6854.487620289375
A_473399,-939.0383778935704,-7154.540127832244
A_115126,-970.3854425449407,-6884.152217402581
A_98418,-1030.4456508903725,-7074.020489041716
A_114343,-1071.2765602150007,-6676.0351415339965
A_43283,-689.1228960789114,-6962.9611891933555
A_440619,-904.3510284278601,-6806.1468085060105
A_46844,-712.4529997335784,-7099.062549048907
A_48159,-852.2125819178584,-6761.277913049707
A_423855,-868.3875923328008,-6989.408836562002
A_48915,-922.2843253719504,-6903.857802592363
A_98425,-487.85332242796665,-7088.470011460683
A_473398,-1000.3551952497021,-7122.302829502654
A_115559,-841.1404772788027,-6830.547620200671
A_51161,-1546.514496643255,-5925.41572669835
A_51486,-852.8688875600692,-6959.694042591307
A_98382,-923.2837508427964,-6830.943426039868
A_415908,-840.9473905087796,-6963.667242918663
A_438934,-829.7556207715465,-7012.47232681926
A_473402,-846.0065875612559,-6898.536146505996
A_473406,-1045.3260683947624,-6867.146662043109
A_56972,-1009.6679216757359,-6819.387019900122
A_58170,-1115.0167292761355,-6686.330646545276
A_438935,-1000.7234193263895,-6878.613016790983
A_68658,-1356.6181681230046,-5724.832968727273
A_473407,-772.6644065766283,-6934.458457787072
A_58770,-563.5106176768925,-7248.663355820573
A_59961,-1173.1681974371636,-6486.488940826946
A_60368,-853.6778634046178,-6987.184484966591
A_60456,-1244.3489382306782,-6659.980002534296
A_473408,-715.1806963737041,-6774.310928230238
A_62395,-1211.9772211652112,-5980.6796737117265
A_62836,-588.5332810722184,-6718.301624733295
A_64520,-953.6950008892253,-6526.77213709395
A_64649,-985.2685445472196,-6659.104786039372
A_64967,-856.5152092789436,-6952.2986109952235
A_473405,-654.8181370179325,-6823.099624035946
A_32994,-1494.7355854969824,-6248.182981281545
A_34380,-1701.0943197690535,-6325.5608269277645
A_35181,-1877.311368910932,-6302.676568871698
A_36548,-1852.3470178386426,-5717.151613535392
A_41493,-1550.23316957756,-6672.253918682096
A_42511,-1837.9524614947047,-6306.350370435329
A_44826,-1551.047596443656,-6234.353218625322
A_47155,-1807.5780860637915,-5800.815638628204
A_68044,-1778.5757325772518,-6395.430625150317
A_50294,-1540.74026379303,-6608.97535172849
A_52170,-2161.9556338925922,-5329.789888065103
A_53469,-1603.185257948019,-6369.1052474540875
A_34107,-2027.4795490817269,-5915.939589543676
A_58661,-1858.2881332659674,-6485.83693961784
A_61395,-1159.397179826157,-6227.462599540817
A_63763,-1802.772939615623,-5731.726762054425
A_16539,-1478.7636347564303,-5692.032240087351
A_444448,-1757.4363389748974,-7742.01351227067
A_30996,-1934.097994169718,-6904.627057289991
A_31231,-1974.6175763963997,-7368.69861634924
A_31463,-1968.5377280163414,-7509.980123718808
A_444445,-1960.8504745389744,-7579.885478410619
A_444450,-2116.133065260241,-6749.87330028336
A_444449,-1897.7533384604635,-7604.957318214034
A_444447,-1977.6340606714748,-7657.009132288449
A_444446,-1892.6835570341523,-7647.733274871787
A_38400,-1894.7811896672592,-7666.087468464353
A_444440,-1854.1848910099657,-7705.609936311747
A_42451,-2067.1947973666784,-7172.665196033232
A_42452,-1938.7598212876594,-7728.2556174422625
A_444441,-1916.8010789085515,-7623.300720361936
A_432493,-1936.0804851541682,-7651.038150509836
A_118088,-1793.8918423669836,-7280.335562662024
A_112288,-1982.2161428553964,-7674.9094706150445
A_4545,-1917.2949233381921,-7720.644139875064
A_444439,-1847.9260054029623,-7619.81615187579
A_57800,-1855.5262849753221,-7737.691734637609
A_444451,-1634.5017625983394,-7525.755195287185
A_444452,-1978.831674155932,-7566.906350519742
A_444442,-1722.2362876279053,-7711.34289513521
A_41025,-1894.7713227266643,-7623.208562671107
A_64186,-1943.6422518817988,-6273.479138922967
A_444436,-1866.4793578972472,-7619.039508833148
A_444453,-1990.510135194419,-7597.592954838673
A_444435,-1811.2753831825942,-7721.766430441518
A_444454,-1841.6557235480002,-7709.179420963752
A_30953,-956.1756120840831,-7389.413682655979
A_31287,-1397.0688944097108,-7388.372096786077
A_38505,-1368.1222131553398,-7879.330263839487
A_543550,-1770.560966849428,-6748.866276053897
A_44638,-1469.4835501329705,-7815.218502617898
A_438981,-1559.8659038678295,-7675.661740265387
A_46701,-1783.168879403839,-6934.535912285417
A_46718,-1357.0539367985787,-7851.72701803063
A_46740,-1491.28084902501,-7802.306876323151
A_47145,-1529.1369402510254,-7631.75663658442
A_29131,-1322.6570857432123,-7853.767045091365
A_50932,-1432.4483797484281,-7847.239414357021
A_51091,-1173.1906379818874,-7984.780613015942
A_13600,-1362.4293498456993,-7936.746405467798
A_56551,-1408.5742220823317,-7906.9359073152755
A_57546,-1390.7870738230088,-7847.027185230514
A_61298,-1869.7595556880613,-6956.856962417438
A_62204,-1498.7900719921158,-7825.410525186066
A_64613,-1330.673367356972,-7834.167231603305
A_65144,-1391.8948331214476,-7955.6562219329535
A_473413,-676.3791068524296,-6391.660358547754
A_473414,-558.3720434204764,-6268.202094294923
A_449164,-556.5421616990792,-6290.395528972873
A_473417,-729.5453978789765,-6372.423754995199
A_32562,-611.8386397671995,-6205.378945787869
A_115753,-853.7837397073303,-6856.375322489551
A_449211,-1050.3051887906283,-6223.882809906477
A_114456,-865.8176152378202,-6922.4804196459
A_39413,-577.6198311531233,-6519.214703975887
A_473412,-582.3620387580827,-6305.013739748194
A_473415,-576.9971979040223,-6207.810208870589
A_49107,-1159.8653118200048,-6843.528830838141
A_50869,-1494.8077460481243,-5732.203248299938
A_473080,-881.792567386756,-6437.72237490807
A_473419,-627.2258250417069,-6210.124794440388
A_68533,-1591.6257819698667,-5725.641591040255
A_58286,-1286.1288936947155,-6200.465735743372
A_68695,-615.629584182072,-6191.36168712686
A_59540,-1062.4551719137985,-6114.721485986198
A_473416,-521.0726772565615,-6359.650474534117
A_62212,-1569.8966367475896,-6188.164247144039
A_473418,-521.1619800830175,-6325.247227601559
A_113710,-977.6207662663215,-6884.726707387286
A_64795,-525.2138387617783,-6312.349968484431
A_61680,-1775.9653726754973,-6298.832740652915
A_36547,-1699.1624096098294,-7257.068206351023
A_40299,-1470.040594466349,-6221.777053165583
A_9087,-1309.2456244839689,-6663.284341157118
A_51217,-1372.6283173694849,-7225.26304252057
A_68244,-1631.793733018956,-7051.937218851334
A_55656,-1571.110771480155,-7557.954060960196
A_56385,-1540.4907186423698,-7500.175517340334
A_56458,-1440.314367098115,-7579.915940931335
A_63805,-1759.2507460956854,-6542.865792448385
A_66813,-849.7433938182611,-6372.749613988325
A_31701,-915.37430595956,-6958.896122250383
A_32512,-1034.300836257917,-6930.906587531331
A_92403,-968.4592125576985,-6949.457587380796
A_33906,-1104.7983756799902,-6823.373580324058
A_439049,-371.76763980089726,-6935.521619854798
A_67459,-930.2661438233897,-7220.257466189504
A_40298,-367.7465748061219,-6978.886458829441
A_41754,-382.12492154448597,-7088.426549790689
A_439043,-220.78052684381976,-7132.8271478874885
A_67765,-655.2624590716222,-7356.343334347224
A_66603,-318.33369431817806,-7191.25898780125
A_45695,-906.228026877303,-7232.975147039513
A_439044,-318.22421724554385,-7354.649986179621
A_439047,-432.18427965566326,-7325.32478057571
A_53589,-1469.9125151510445,-5836.776557600178
A_12160,-619.4275641871403,-7420.494604877022
A_54967,-246.41372403821984,-7174.856409533575
A_57599,-333.4962121069362,-6976.6915118325915
A_63039,-578.311803060854,-7408.564180628356
A_68964,-590.8095367090694,-7293.145255838028
A_64210,-634.8727674753611,-7013.9462878554905
A_439048,-304.5734811890038,-7180.33986157719
A_31269,-1401.6591551270787,-6422.473814212676
A_32703,-1212.1589340090834,-7243.642389660548
A_33282,-1338.490248160227,-7150.31213823084
A_33915,-1133.8833211768772,-6605.706760708827
A_34797,-1160.2543201553115,-7102.400182444248
A_92588,-867.2303606972498,-7463.333272948478
A_43692,-804.2269077711455,-7120.329454562598
A_47124,-1179.542894534794,-6178.771571135655
A_8262,-1156.0170880368416,-7167.553733265905
A_51539,-718.9386802869183,-6996.1762629128
A_54656,-1277.052133581948,-6236.73591312223
A_68604,-1408.3160754762132,-6558.452938844304
A_59675,-1078.283176641581,-6326.616012775954
A_63302,-1119.591308732744,-6490.469782147604
A_64014,-1519.3723917325983,-6512.826357887427
A_66036,-1116.9196460228718,-7414.8267483224645
A_32720,-1308.0127370926025,-6755.942230795398
A_66995,-1433.3774068758341,-6303.158616543026
A_22390,-665.0996192065583,-7494.101449870115
A_45070,-1111.9250548760551,-6411.044915909362
A_52389,-1160.8694429460222,-6430.960531188645
A_53681,-1055.301259856726,-6564.370234032222
A_68568,-329.79563763634195,-6759.333858412601
A_68583,-1281.0085226213723,-6056.517513571555
A_65461,-979.0531934009168,-7417.34191319833
A_36760,-1055.3131020383405,-6185.820345242635
A_46809,-807.4477194466173,-5430.892336408081
A_50102,-1780.6211107057864,-5533.379510971371
A_50243,-1424.6086610801392,-5960.062212879359
A_57478,-675.4886399100266,-5459.683142022904
A_60622,-694.6183936131548,-5358.322774689539
A_29294,-522.7987608730087,-6893.895522878939
A_397535,-705.5167515479005,-6897.673582248421
A_397001,-443.18243612317144,-6959.984945960538
A_30348,-499.36780074656247,-6956.933419905748
A_30399,-590.3559725266609,-7004.974378635414
A_31294,-453.46017755883446,-6951.111401633527
A_397551,-385.50482529406287,-6982.754811830844
A_32081,-455.8858203371497,-7076.023055623662
A_92313,-696.8815936891206,-6777.188692508334
A_32526,-522.3497897787537,-6988.085746627993
A_33288,-402.24657237463924,-6968.678601057726
A_397533,-630.3895131695416,-6911.296452646374
A_60201,-418.02862643748483,-7018.482039515144
A_98401,-349.6670799512307,-6998.558133223891
A_397546,-864.3278892978767,-6769.351823884167
A_397429,-396.6350692502812,-7012.782189214659
A_397563,-650.0538807866451,-7033.366694985362
A_5198,-947.6343042967884,-6642.269030810109
A_397540,-554.5410119328363,-6755.4327577635995
A_98392,-391.25328178584306,-6962.26478681634
A_34998,-463.1990825992137,-6958.894375644407
A_35210,-368.61468889524156,-7083.8572866147
A_397554,-464.70707757413186,-6896.496281170732
