performer_id,degree
A_60670,952
A_53589,720
A_68475,701
A_21639,698
A_35584,692
A_21617,675
A_52148,652
A_67079,650
A_39487,642
A_66920,640
A_14598,635
A_29701,633
A_61800,632
A_58170,625
A_41881,619
A_52830,602
A_67892,595
A_65498,595
A_31445,593
A_4031,593
A_66859,584
A_9201,578
A_29675,578
A_6934,577
A_67134,569
A_67578,567
A_66926,565
A_62550,564
A_67938,561
A_62353,559
A_29775,554
A_57887,554
A_36428,551
A_34986,546
A_65037,546
A_30108,545
A_62258,543
A_67795,537
A_97813,535
A_9057,534
A_34634,533
A_56358,531
A_67438,528
A_63843,524
A_41064,524
A_57362,521
A_22218,521
A_56200,520
A_68161,520
A_61961,518
A_67940,518
A_114698,517
A_67151,516
A_87854,516
A_113865,514
A_33750,512
A_29794,512
A_413318,511
A_30742,511
A_49107,509
A_68039,507
A_32852,507
A_37729,506
A_115123,505
A_41913,505
A_36387,502
A_15944,496
A_114180,496
A_387387,496
A_15413,494
A_97784,494
A_49568,493
A_53307,492
A_44832,492
A_25899,490
A_29758,490
A_68778,486
A_44304,484
A_43937,483
A_48419,483
A_67758,482
A_30866,481
A_53523,480
A_61108,478
A_51447,478
A_29633,477
A_32464,475
A_60953,474
A_65206,474
A_47270,473
A_66981,473
A_67027,472
A_61294,472
A_397546,470
A_52250,469
A_30909,469
A_31612,468
A_57627,468
A_68014,468
A_54375,467
A_68840,467
A_114343,466
A_40827,466
A_25768,462
A_67218,461
A_97806,461
A_92480,461
A_30755,460
A_113710,460
A_84550,458
A_64635,456
A_382216,454
A_113801,454
A_43831,453
A_68903,453
A_51779,453
A_50869,452
A_111234,452
A_47587,452
A_50271,452
A_30150,451
A_34263,451
A_112358,448
A_11071,447
A_40987,447
A_51836,447
A_32201,447
A_68340,446
A_35920,446
A_33747,446
A_15020,445
A_53782,445
A_15358,445
A_98382,444
A_102118,444
A_51833,443
A_57090,439
A_99515,438
A_64816,437
A_41109,437
A_102033,437
A_68787,436
A_60413,436
A_44748,435
A_49498,435
A_51232,435
A_65694,434
A_114346,433
A_41614,433
A_67333,433
A_88583,433
A_61567,433
A_31313,432
A_58020,432
A_35179,431
A_114423,431
A_98385,431
A_49588,430
A_32834,429
A_53458,429
A_42446,428
A_67661,426
A_68278,426
A_45058,426
A_92403,425
A_53777,425
A_36321,425
A_67205,424
A_67449,424
A_64488,424
A_67266,424
A_113782,423
A_92769,422
A_59820,422
A_99457,422
A_42299,421
A_37394,419
A_97791,419
A_35008,418
A_98421,418
A_36260,417
A_44701,417
A_40059,417
A_116210,416
A_384739,415
A_383839,415
A_68008,413
A_56408,413
A_93843,413
A_62822,412
A_95580,412
A_62212,412
A_67540,412
A_100190,411
A_67321,410
A_35879,409
A_99508,409
A_413328,408
A_74697,408
A_29264,408
A_97795,407
A_99449,407
A_40567,407
A_67487,406
A_21257,406
A_48517,405
A_47083,405
A_68625,404
A_64520,404
A_114558,403
A_66848,403
A_6275,402
A_29309,402
A_42401,401
A_44243,401
A_51673,400
A_54808,400
A_32150,400
A_16331,399
A_65062,398
A_113340,398
A_44961,398
A_16362,398
A_4866,397
A_45399,397
A_75718,396
A_15623,396
A_62311,396
A_52528,396
A_66953,395
A_381707,395
A_97810,394
A_52775,394
A_67234,394
A_68634,394
A_62697,392
A_76958,392
A_54101,392
A_64054,391
A_45829,391
A_115208,391
A_68665,390
A_57703,390
A_80924,389
A_66722,389
A_1197,389
A_68504,388
A_60795,387
A_6310,386
A_54051,386
A_64230,385
A_4249,385
A_114582,385
A_89002,385
A_46999,385
A_115302,385
A_63017,384
A_59683,384
A_113205,384
A_58282,384
A_55221,383
A_51604,383
A_68674,382
A_34332,382
A_43739,382
A_63802,381
A_32373,380
A_382323,380
A_66968,379
A_99323,379
A_68795,378
A_14112,378
A_54925,377
A_14571,377
A_67518,377
A_63094,377
A_115057,377
A_67665,376
A_39288,376
A_47555,375
A_375996,375
A_63283,375
A_52745,374
A_55120,374
A_60099,374
A_15642,374
A_36386,374
A_113290,373
A_115923,373
A_36203,372
A_31614,372
A_33049,371
A_54913,371
A_46091,371
A_63149,370
A_36011,370
A_14376,370
A_74533,370
A_39563,369
A_68734,368
A_36838,368
A_35260,368
A_67543,368
A_29692,368
A_99485,367
A_40489,367
A_59415,367
A_66772,367
A_31571,366
A_6170,366
A_111035,365
A_92626,364
A_33700,364
A_50434,364
A_113461,364
A_40956,364
A_30576,363
A_48197,363
A_63885,363
A_45876,363
A_16116,362
A_53295,362
A_47086,362
A_40064,362
A_63316,361
A_49294,361
A_113587,361
A_48943,361
A_61342,360
A_8232,360
A_77578,359
A_35395,359
A_68121,358
A_37481,358
A_378209,357
A_113789,356
A_61825,356
A_113132,356
A_54721,355
A_59632,355
A_42154,355
A_113648,355
A_41903,355
A_33083,354
A_39467,354
A_59514,354
A_34339,354
A_422820,354
A_53624,353
A_15237,353
A_54160,353
A_64312,353
A_114988,353
A_42137,352
A_68224,352
A_59411,351
A_36006,351
A_40697,351
A_95651,351
A_68335,351
A_67869,350
A_112363,350
A_60042,350
A_110965,350
A_61497,350
A_8331,349
A_29835,349
A_29864,349
A_111162,348
A_43768,348
A_419929,347
A_51912,347
A_497600,347
A_94811,347
A_67309,347
A_14387,347
A_104280,347
A_84427,347
A_44092,346
A_35273,346
A_44890,346
A_96794,346
A_105749,346
A_14040,346
A_51396,345
A_67659,345
A_51516,345
A_43795,344
A_46218,344
A_426364,344
A_59716,344
A_50054,344
A_57672,344
A_48654,344
A_47885,343
A_41460,343
A_115127,343
A_38551,343
A_68534,342
A_68741,341
A_29385,341
A_15421,341
A_62141,341
A_55926,341
A_8166,341
A_51783,340
A_49329,340
A_112134,340
A_51027,340
A_48732,340
A_39282,340
A_37260,339
A_397547,339
A_48238,339
A_53441,339
A_64885,338
A_67737,338
A_15461,338
A_51265,337
A_64092,337
A_97785,337
A_41289,337
A_45698,337
A_117947,337
A_16528,336
A_32549,336
A_78061,336
A_48863,336
A_63933,336
A_68308,336
A_42131,336
A_45451,336
A_52691,336
A_68540,335
A_64919,335
A_67382,335
A_45664,334
A_52309,334
A_5481,333
A_98553,332
A_65599,332
A_14058,332
A_21398,332
A_68166,332
A_32095,332
A_69050,332
A_68589,331
A_31259,331
A_65848,331
A_55603,331
A_9181,331
A_67522,331
A_381706,331
A_39465,330
A_37568,330
A_8543,330
A_114765,330
A_33173,330
A_53582,330
A_38429,329
A_95573,329
A_52138,329
A_77550,328
A_97102,328
A_54143,328
A_57935,328
A_61761,327
A_63812,327
A_53064,327
A_77179,327
A_67890,327
A_68384,327
A_36357,326
A_69002,326
A_56082,326
A_65127,326
A_14727,326
A_39581,324
A_33690,324
A_67745,324
A_7209,324
A_14135,324
A_68315,324
A_53556,324
A_44067,324
A_387361,324
A_113377,323
A_62628,323
A_413330,323
A_14314,323
A_97075,322
A_62150,322
A_67417,322
A_114436,321
A_118702,321
A_116003,321
A_35456,321
A_113501,320
A_45022,320
A_57507,320
A_114242,320
A_30794,320
A_114051,320
A_59889,320
A_58341,320
A_35504,320
A_105854,320
A_35877,319
A_15484,319
A_45316,319
A_58161,319
A_56976,319
A_88198,319
A_64649,319
A_57283,319
A_79190,319
A_67159,318
A_45026,318
A_56521,318
A_40217,318
A_56086,318
A_64008,318
A_36237,318
A_85175,318
