source,target,weight,layout_weight
A_48159,A_98382,2,1.0986122886681098
A_376830,A_453411,2,1.0986122886681098
A_376830,A_70909,2,1.0986122886681098
A_376830,A_103151,3,1.3862943611198906
A_376830,A_453443,2,1.0986122886681098
A_376830,A_72071,2,1.0986122886681098
A_376830,A_67143,2,1.0986122886681098
A_376830,A_98854,2,1.0986122886681098
A_376830,A_413226,2,1.0986122886681098
A_376830,A_453438,2,1.0986122886681098
A_376830,A_70688,2,1.0986122886681098
A_376830,A_453442,2,1.0986122886681098
A_376830,A_39161,2,1.0986122886681098
A_376830,A_422239,2,1.0986122886681098
A_376830,A_82604,2,1.0986122886681098
A_376830,A_36805,2,1.0986122886681098
A_376830,A_453408,2,1.0986122886681098
A_376830,A_82593,2,1.0986122886681098
A_376830,A_68447,2,1.0986122886681098
A_376830,A_87546,2,1.0986122886681098
A_376830,A_117962,2,1.0986122886681098
A_376830,A_375469,2,1.0986122886681098
A_376830,A_453439,2,1.0986122886681098
A_376830,A_46241,2,1.0986122886681098
A_376830,A_44081,2,1.0986122886681098
A_376830,A_75608,2,1.0986122886681098
A_376830,A_453409,2,1.0986122886681098
A_376830,A_76196,2,1.0986122886681098
A_376830,A_453441,2,1.0986122886681098
A_376830,A_423829,2,1.0986122886681098
A_376830,A_391915,2,1.0986122886681098
A_376830,A_419600,2,1.0986122886681098
A_376830,A_71660,2,1.0986122886681098
A_87698,A_43315,2,1.0986122886681098
A_98567,A_479923,2,1.0986122886681098
A_98567,A_48682,2,1.0986122886681098
A_98567,A_110648,2,1.0986122886681098
A_98567,A_93036,2,1.0986122886681098
A_98567,A_81112,2,1.0986122886681098
A_98567,A_80920,2,1.0986122886681098
A_98567,A_479921,2,1.0986122886681098
A_98567,A_112007,3,1.3862943611198906
A_98567,A_410257,2,1.0986122886681098
A_98567,A_93020,2,1.0986122886681098
A_98567,A_479925,2,1.0986122886681098
A_98567,A_479725,2,1.0986122886681098
A_98567,A_81111,2,1.0986122886681098
A_98567,A_479729,2,1.0986122886681098
A_98567,A_479922,2,1.0986122886681098
A_98567,A_479927,2,1.0986122886681098
A_98567,A_102118,2,1.0986122886681098
A_98567,A_411283,3,1.3862943611198906
A_98567,A_113801,2,1.0986122886681098
A_98567,A_67450,2,1.0986122886681098
A_98567,A_81100,2,1.0986122886681098
A_98567,A_479926,2,1.0986122886681098
A_98567,A_393354,3,1.3862943611198906
A_98567,A_479924,2,1.0986122886681098
A_81331,A_100500,2,1.0986122886681098
A_81331,A_52356,2,1.0986122886681098
A_81331,A_46780,2,1.0986122886681098
A_81331,A_112654,3,1.3862943611198906
A_57823,A_62579,2,1.0986122886681098
A_57823,A_42768,2,1.0986122886681098
A_57823,A_59777,2,1.0986122886681098
A_54901,A_66955,2,1.0986122886681098
A_54901,A_8232,2,1.0986122886681098
A_54901,A_34499,2,1.0986122886681098
A_54901,A_68594,2,1.0986122886681098
A_54901,A_6644,2,1.0986122886681098
A_54901,A_44748,2,1.0986122886681098
A_54901,A_23489,2,1.0986122886681098
A_54901,A_59683,2,1.0986122886681098
A_54901,A_21256,2,1.0986122886681098
A_54901,A_406446,2,1.0986122886681098
A_54901,A_33669,2,1.0986122886681098
A_54901,A_62651,2,1.0986122886681098
A_54901,A_21257,3,1.3862943611198906
A_54901,A_67549,2,1.0986122886681098
A_54901,A_68113,2,1.0986122886681098
A_54901,A_33635,2,1.0986122886681098
A_54901,A_51653,2,1.0986122886681098
A_54901,A_29115,2,1.0986122886681098
A_54901,A_57005,2,1.0986122886681098
A_54901,A_67137,2,1.0986122886681098
A_54901,A_54898,2,1.0986122886681098
A_54901,A_39581,2,1.0986122886681098
A_54901,A_56895,2,1.0986122886681098
A_38717,A_67940,2,1.0986122886681098
A_38717,A_68780,2,1.0986122886681098
A_38717,A_68961,2,1.0986122886681098
A_382839,A_68193,2,1.0986122886681098
A_382839,A_382838,2,1.0986122886681098
A_382839,A_382991,2,1.0986122886681098
A_382839,A_48747,2,1.0986122886681098
A_382839,A_45050,2,1.0986122886681098
A_382839,A_378220,2,1.0986122886681098
A_382839,A_49109,2,1.0986122886681098
A_382839,A_382984,2,1.0986122886681098
A_382839,A_51740,2,1.0986122886681098
A_382839,A_116429,2,1.0986122886681098
A_382839,A_382837,2,1.0986122886681098
A_382839,A_41614,2,1.0986122886681098
A_382839,A_378209,2,1.0986122886681098
A_382839,A_96794,2,1.0986122886681098
A_382839,A_502013,2,1.0986122886681098
A_382839,A_92287,2,1.0986122886681098
A_382839,A_68072,2,1.0986122886681098
A_382839,A_41138,2,1.0986122886681098
A_382839,A_68450,2,1.0986122886681098
A_382839,A_378216,2,1.0986122886681098
A_382839,A_53589,2,1.0986122886681098
A_382839,A_32095,2,1.0986122886681098
A_382839,A_49094,2,1.0986122886681098
A_382839,A_378132,2,1.0986122886681098
A_382839,A_378222,2,1.0986122886681098
A_382839,A_378213,2,1.0986122886681098
A_382839,A_30866,2,1.0986122886681098
A_382839,A_111162,2,1.0986122886681098
A_382839,A_41881,2,1.0986122886681098
A_382839,A_378217,2,1.0986122886681098
A_382839,A_35584,2,1.0986122886681098
A_382839,A_97784,2,1.0986122886681098
A_382839,A_38476,2,1.0986122886681098
A_382839,A_382836,2,1.0986122886681098
A_382839,A_31134,2,1.0986122886681098
A_382839,A_65665,2,1.0986122886681098
A_382839,A_382990,2,1.0986122886681098
A_382839,A_382988,2,1.0986122886681098
A_382839,A_53067,2,1.0986122886681098
A_382839,A_115253,2,1.0986122886681098
A_382839,A_378212,2,1.0986122886681098
A_382839,A_92439,2,1.0986122886681098
A_382839,A_68340,2,1.0986122886681098
A_382839,A_92496,2,1.0986122886681098
A_382839,A_54098,2,1.0986122886681098
A_382839,A_29794,2,1.0986122886681098
A_382839,A_68634,2,1.0986122886681098
A_94549,A_94554,2,1.0986122886681098
A_94549,A_94563,2,1.0986122886681098
A_94549,A_94537,2,1.0986122886681098
A_94549,A_94544,2,1.0986122886681098
A_94549,A_94552,2,1.0986122886681098
A_94549,A_94577,2,1.0986122886681098
A_94549,A_6693,3,1.3862943611198906
A_94549,A_68602,3,1.3862943611198906
A_94549,A_94551,2,1.0986122886681098
A_94549,A_94539,3,1.3862943611198906
A_94549,A_94542,2,1.0986122886681098
A_94549,A_94535,2,1.0986122886681098
A_94549,A_94555,3,1.3862943611198906
A_94549,A_63029,2,1.0986122886681098
A_94549,A_94547,2,1.0986122886681098
A_94549,A_94541,2,1.0986122886681098
A_94549,A_94533,2,1.0986122886681098
A_114860,A_103593,2,1.0986122886681098
A_114860,A_96578,2,1.0986122886681098
A_529631,A_529630,2,1.0986122886681098
A_529631,A_529625,3,1.3862943611198906
A_529631,A_529634,2,1.0986122886681098
A_529631,A_529632,2,1.0986122886681098
A_64926,A_101052,2,1.0986122886681098
A_64926,A_46237,2,1.0986122886681098
A_64926,A_54782,2,1.0986122886681098
A_68450,A_68193,2,1.0986122886681098
A_68450,A_382838,2,1.0986122886681098
A_68450,A_382991,2,1.0986122886681098
A_68450,A_45050,2,1.0986122886681098
A_68450,A_378220,2,1.0986122886681098
A_68450,A_49109,2,1.0986122886681098
A_68450,A_382984,2,1.0986122886681098
A_68450,A_44347,2,1.0986122886681098
A_68450,A_51740,2,1.0986122886681098
A_68450,A_116429,2,1.0986122886681098
A_68450,A_382837,2,1.0986122886681098
A_68450,A_41614,2,1.0986122886681098
A_68450,A_378209,3,1.3862943611198906
A_68450,A_96794,2,1.0986122886681098
A_68450,A_67033,2,1.0986122886681098
A_68450,A_502013,2,1.0986122886681098
A_68450,A_92287,2,1.0986122886681098
A_68450,A_68072,2,1.0986122886681098
A_68450,A_41138,2,1.0986122886681098
A_68450,A_378216,2,1.0986122886681098
A_68450,A_32095,2,1.0986122886681098
A_68450,A_49094,2,1.0986122886681098
A_68450,A_53589,2,1.0986122886681098
A_68450,A_378132,2,1.0986122886681098
A_68450,A_378222,2,1.0986122886681098
A_68450,A_378213,2,1.0986122886681098
A_68450,A_30866,2,1.0986122886681098
A_68450,A_111162,2,1.0986122886681098
A_68450,A_41881,2,1.0986122886681098
A_68450,A_378217,2,1.0986122886681098
A_68450,A_35584,2,1.0986122886681098
A_68450,A_97784,2,1.0986122886681098
A_68450,A_92403,2,1.0986122886681098
A_68450,A_38476,2,1.0986122886681098
A_68450,A_382836,2,1.0986122886681098
A_68450,A_31134,2,1.0986122886681098
A_68450,A_52148,2,1.0986122886681098
A_68450,A_65665,2,1.0986122886681098
A_68450,A_382990,2,1.0986122886681098
A_68450,A_382988,2,1.0986122886681098
A_68450,A_53067,2,1.0986122886681098
A_68450,A_115253,2,1.0986122886681098
A_68450,A_378212,2,1.0986122886681098
A_68450,A_68340,2,1.0986122886681098
A_68450,A_92496,2,1.0986122886681098
A_68450,A_54098,2,1.0986122886681098
A_68450,A_29794,2,1.0986122886681098
A_68450,A_68634,2,1.0986122886681098
A_111276,A_117655,2,1.0986122886681098
A_111276,A_111233,2,1.0986122886681098
A_111276,A_111241,2,1.0986122886681098
A_111276,A_479879,2,1.0986122886681098
A_111276,A_8025,2,1.0986122886681098
A_111276,A_117946,2,1.0986122886681098
A_111276,A_97539,2,1.0986122886681098
A_111276,A_479875,2,1.0986122886681098
A_111276,A_479872,2,1.0986122886681098
A_111276,A_479869,2,1.0986122886681098
A_111276,A_106191,2,1.0986122886681098
A_111276,A_106236,2,1.0986122886681098
A_111276,A_68385,2,1.0986122886681098
A_111276,A_479870,2,1.0986122886681098
A_111276,A_479867,2,1.0986122886681098
A_111276,A_95573,3,1.3862943611198906
A_111276,A_479876,2,1.0986122886681098
A_111276,A_5942,2,1.0986122886681098
A_111276,A_479877,2,1.0986122886681098
A_111276,A_479874,2,1.0986122886681098
A_111276,A_479873,2,1.0986122886681098
A_412500,A_495225,2,1.0986122886681098
A_412500,A_477458,2,1.0986122886681098
A_96639,A_88244,2,1.0986122886681098
A_96639,A_96640,2,1.0986122886681098
A_118461,A_52185,2,1.0986122886681098
A_61293,A_99980,2,1.0986122886681098
A_61293,A_88684,2,1.0986122886681098
A_61293,A_99982,2,1.0986122886681098
A_61293,A_99986,2,1.0986122886681098
A_61293,A_99988,2,1.0986122886681098
A_61293,A_99987,2,1.0986122886681098
A_61293,A_105930,2,1.0986122886681098
A_61293,A_46955,2,1.0986122886681098
A_48949,A_81082,2,1.0986122886681098
A_48949,A_479778,3,1.3862943611198906
A_48949,A_111376,3,1.3862943611198906
A_48949,A_103577,2,1.0986122886681098
