season_id,season_label,start_year
1001,1899-1900,1899
1002,1900-1901,1900
1003,1901-1902,1901
1004,1902-1903,1902
1005,1903-1904,1903
1006,1904-1905,1904
1007,1905-1906,1905
1008,1906-1907,1906
1009,1907-1908,1907
1010,1908-1909,1908
1011,1909-1910,1909
1012,1910-1911,1910
1013,1911-1912,1911
1014,1912-1913,1912
1015,1913-1914,1913
1016,1914-1915,1914
1017,1915-1916,1915
1018,1916-1917,1916
1019,1917-1918,1917
1020,1918-1919,1918
1021,1919-1920,1919
1022,1920-1921,1920
1023,1921-1922,1921
1024,1922-1923,1922
1025,1923-1924,1923
1026,1924-1925,1924
1027,1925-1926,1925
1028,1926-1927,1926
1029,1927-1928,1927
1030,1928-1929,1928
1031,1929-1930,1929
1032,1930-1931,1930
1033,1931-1932,1931
1034,1932-1933,1932
1035,1933-1934,1933
1036,1934-1935,1934
1037,1935-1936,1935
1038,1936-1937,1936
1039,1937-1938,1937
1040,1938-1939,1938
1041,1939-1940,1939
1042,1940-1941,1940
1043,1941-1942,1941
1044,1942-1943,1942
1045,1943-1944,1943
1046,1944-1945,1944
1047,1945-1946,1945
1048,1946-1947,1946
1049,1947-1948,1947
1050,1948-1949,1948
1051,1949-1950,1949
1052,1950-1951,1950
1053,1951-1952,1951
1054,1952-1953,1952
1055,1953-1954,1953
1056,1954-1955,1954
1057,1955-1956,1955
1058,1956-1957,1956
1059,1957-1958,1957
1060,1958-1959,1958
1061,1959-1960,1959
1062,1960-1961,1960
1063,1961-1962,1961
1064,1962-1963,1962
1065,1963-1964,1963
1066,1964-1965,1964
1067,1965-1966,1965
1068,1966-1967,1966
1069,1967-1968,1967
1070,1968-1969,1968
1071,1969-1970,1969
1072,1970-1971,1970
1073,1971-1972,1971
1074,1972-1973,1972
1075,1973-1974,1973
1076,1974-1975,1974
1077,1975-1976,1975
1078,1976-1977,1976
1079,1977-1978,1977
1080,1978-1979,1978
1081,1979-1980,1979
1082,1980-1981,1980
1083,1981-1982,1981
1084,1982-1983,1982
1085,1983-1984,1983
1086,1984-1985,1984
1087,1985-1986,1985
1088,1986-1987,1986
1089,1987-1988,1987
1090,1988-1989,1988
1091,1989-1990,1989
1092,1990-1991,1990
1093,1991-1992,1991
1094,1992-1993,1992
1095,1993-1994,1993
1096,1994-1995,1994
1097,1995-1996,1995
1098,1996-1997,1996
1099,1997-1998,1997
1100,1998-1999,1998
1101,1999-2000,1999
1102,1750-1751,1750
1103,1752-1753,1752
1104,1753-1754,1753
1105,1754-1755,1754
1106,1755-1756,1755
1107,1756-1757,1756
1108,1757-1758,1757
1109,1758-1759,1758
1110,1759-1760,1759
1111,1760-1761,1760
1112,1761-1762,1761
1113,1762-1763,1762
1114,1763-1764,1763
1115,1764-1765,1764
1116,1765-1766,1765
1117,1766-1767,1766
1118,1767-1768,1767
1119,1768-1769,1768
1120,1769-1770,1769
1121,1770-1771,1770
1122,1771-1772,1771
1123,1772-1773,1772
1124,1773-1774,1773
1125,1774-1775,1774
1126,1775-1776,1775
1127,1776-1777,1776
1128,1777-1778,1777
1129,1778-1779,1778
1130,1779-1780,1779
1131,1780-1781,1780
1132,1781-1782,1781
1133,1782-1783,1782
1134,1783-1784,1783
1135,1784-1785,1784
1136,1785-1786,1785
1137,1786-1787,1786
1138,1787-1788,1787
1139,1788-1789,1788
1140,1789-1790,1789
1141,1790-1791,1790
1142,1791-1792,1791
1143,1792-1793,1792
1144,1793-1794,1793
1145,1794-1795,1794
1146,1795-1796,1795
1147,1796-1797,1796
1148,1797-1798,1797
1149,1798-1799,1798
1150,1799-1800,1799
1151,1800-1801,1800
1152,1801-1802,1801
1153,1802-1803,1802
1154,1803-1804,1803
1155,1804-1805,1804
1156,1805-1806,1805
1157,1806-1807,1806
1158,1807-1808,1807
1159,1808-1809,1808
1160,1809-1810,1809
1161,1810-1811,1810
1162,1811-1812,1811
1163,1812-1813,1812
1164,1813-1814,1813
1165,1814-1815,1814
1166,1815-1816,1815
1167,1816-1817,1816
1168,1817-1818,1817
1169,1818-1819,1818
1170,1819-1820,1819
1171,1820-1821,1820
1172,1821-1822,1821
1173,1822-1823,1822
1174,1823-1824,1823
1175,1824-1825,1824
1176,1825-1826,1825
1177,1826-1827,1826
1178,1827-1828,1827
1179,1828-1829,1828
1180,1829-1830,1829
1181,1830-1831,1830
1182,1831-1832,1831
1183,1832-1833,1832
1184,1833-1834,1833
1185,1834-1835,1834
1186,1835-1836,1835
1187,1836-1837,1836
1188,1837-1838,1837
1189,1838-1839,1838
1190,1839-1840,1839
1191,1840-1841,1840
1192,1841-1842,1841
1193,1842-1843,1842
1194,1843-1844,1843
1195,1844-1845,1844
1196,1845-1846,1845
1197,1846-1847,1846
1198,1847-1848,1847
1199,1848-1849,1848
1200,1849-1850,1849
1201,1850-1851,1850
1202,1851-1852,1851
1203,1852-1853,1852
1204,1853-1854,1853
1205,1854-1855,1854
